Avg. driving score,0.965
Avg. route completion,6.091
Avg. infraction penalty,0.332
Collisions with pedestrians,0.0
Collisions with vehicles,25.79130798372482
Collisions with layout,14.328504435402678
Red lights infractions,0.0
Stop sign infractions,0.0
Off-road infractions,15.704900571467462
Route deviations,2.8657008870805356
Route timeouts,0.0
Agent blocked,8.597102661241607
""
route,town,weather,daytime,score mean,score std,completion mean,completion std,duration mean,duration std,length mean,length std,collisions_layout mean,collisions_layout std,collisions_pedestrian mean,collisions_pedestrian std,collisions_vehicle mean,collisions_vehicle std,outside_route_lanes mean,outside_route_lanes std,red_light mean,red_light std,route_dev mean,route_dev std,route_timeout mean,route_timeout std,stop_infraction mean,stop_infraction std,vehicle_blocked mean,vehicle_blocked std
RouteScenario_0,Town01,MidRain,Dawn,0.4456199371668062,0.0,3.1739311764017537,0.0,199.4500029720366,0.0,1130.24134093902,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RouteScenario_1,Town01,Cloudy,Dawn,2.0529491037877823,0.0,2.0529491037877823,0.0,6.600000098347664,0.0,1014.5683614271728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RouteScenario_13,Town03,MidRain,Twilight,0.8237058796057475,0.0,5.574327747152194,0.0,200.3000029847026,0.0,1748.053394390975,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RouteScenario_14,Town03,WetCloudy,Night,0.538572061207593,0.0,13.56422510258867,0.0,223.50000333040953,0.0,1436.210995252817,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
""
town,score mean,score std,completion mean,completion std,duration mean,duration std,length mean,length std,collisions_layout mean,collisions_layout std,collisions_pedestrian mean,collisions_pedestrian std,collisions_vehicle mean,collisions_vehicle std,outside_route_lanes mean,outside_route_lanes std,red_light mean,red_light std,route_dev mean,route_dev std,route_timeout mean,route_timeout std,stop_infraction mean,stop_infraction std,vehicle_blocked mean,vehicle_blocked std
Town01,1.2492845204772942,0.8036645833104881,2.613440140094768,0.5604910363069857,103.02500153519213,96.42500143684447,1072.4048511830963,57.83648975592354,0.5,0.5,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5
Town03,0.6811389704066703,0.14256690919907722,9.569276424870433,3.9949486777182384,211.90000315755606,11.60000017285347,1592.132194821896,155.92119956907902,2.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
""
weather,score mean,score std,completion mean,completion std,duration mean,duration std,length mean,length std,collisions_layout mean,collisions_layout std,collisions_pedestrian mean,collisions_pedestrian std,collisions_vehicle mean,collisions_vehicle std,outside_route_lanes mean,outside_route_lanes std,red_light mean,red_light std,route_dev mean,route_dev std,route_timeout mean,route_timeout std,stop_infraction mean,stop_infraction std,vehicle_blocked mean,vehicle_blocked std
Cloudy,2.0529491037877823,0.0,2.0529491037877823,0.0,6.600000098347664,0.0,1014.5683614271728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MidRain,0.6346629083862768,0.18904297121947064,4.374129461776974,1.20019828537522,199.8750029783696,0.4250000063329935,1439.1473676649975,308.90602672597754,2.0,1.0,0.0,0.0,2.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
WetCloudy,0.538572061207593,0.0,13.56422510258867,0.0,223.50000333040953,0.0,1436.210995252817,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
""
daytime,score mean,score std,completion mean,completion std,duration mean,duration std,length mean,length std,collisions_layout mean,collisions_layout std,collisions_pedestrian mean,collisions_pedestrian std,collisions_vehicle mean,collisions_vehicle std,outside_route_lanes mean,outside_route_lanes std,red_light mean,red_light std,route_dev mean,route_dev std,route_timeout mean,route_timeout std,stop_infraction mean,stop_infraction std,vehicle_blocked mean,vehicle_blocked std
Dawn,1.2492845204772942,0.8036645833104881,2.613440140094768,0.5604910363069857,103.02500153519213,96.42500143684447,1072.4048511830963,57.83648975592354,0.5,0.5,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5
Night,0.538572061207593,0.0,13.56422510258867,0.0,223.50000333040953,0.0,1436.210995252817,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Twilight,0.8237058796057475,0.0,5.574327747152194,0.0,200.3000029847026,0.0,1748.053394390975,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
""
status,score mean,score std,completion mean,completion std,duration mean,duration std,length mean,length std,collisions_layout mean,collisions_layout std,collisions_pedestrian mean,collisions_pedestrian std,collisions_vehicle mean,collisions_vehicle std,outside_route_lanes mean,outside_route_lanes std,red_light mean,red_light std,route_dev mean,route_dev std,route_timeout mean,route_timeout std,stop_infraction mean,stop_infraction std,vehicle_blocked mean,vehicle_blocked std
Failed - Agent deviated from the route,2.0529491037877823,0.0,2.0529491037877823,0.0,6.600000098347664,0.0,1014.5683614271728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Failed - Agent got blocked,0.6026326259933822,0.16086238826606078,7.437494675380873,4.4417035185442835,207.75000309571624,11.142336844965453,1438.1685768609375,252.22451300636197,1.6666666666666667,0.9428090415820634,0.0,0.0,3.0,1.632993161855452,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
""
town,weather,daylight,infraction type,x,y,z
Town01,MidRain,Dawn,collisions_layout,333.287,329.833,0.033
Town01,MidRain,Dawn,collisions_vehicle,334.722,294.188,0.033
Town01,MidRain,Dawn,collisions_vehicle,334.515,308.371,0.037
Town01,MidRain,Dawn,collisions_vehicle,334.301,314.79,0.033
Town01,MidRain,Dawn,vehicle_blocked,333.19,330.257,0.031
Town01,Cloudy,Dawn,route_dev,365.022,2.007,0.033
Town03,MidRain,Twilight,collisions_layout,132.305,54.092,0.057
Town03,MidRain,Twilight,collisions_layout,117.507,52.622,0.129
Town03,MidRain,Twilight,collisions_layout,115.496,50.395,0.182
Town03,MidRain,Twilight,collisions_vehicle,203.393,58.803,0.033
Town03,MidRain,Twilight,vehicle_blocked,115.061,50.192,0.182
Town03,WetCloudy,Night,collisions_layout,166.844,-141.71,8.19
Town03,WetCloudy,Night,collisions_vehicle,-12.845,-135.049,0.033
Town03,WetCloudy,Night,collisions_vehicle,12.245,-134.114,0.048
Town03,WetCloudy,Night,collisions_vehicle,36.971,-133.708,2.147
Town03,WetCloudy,Night,collisions_vehicle,56.406,-133.57,6.265
Town03,WetCloudy,Night,collisions_vehicle,64.854,-133.614,7.527
Town03,WetCloudy,Night,vehicle_blocked,167.832,-141.886,8.185
""
